순번	고장모드	고장값	고장유지시간	고장영향	심각도	발생빈도	검출도	RPN	평균 고장값	최대 고장값	고장주입 시간	
31	Flight Controller/thrustsToMotorCommands/FAULT_motors_cmdout	0.4	223	1번 모터 제어 고장	7	10	10	700	139.619676870748	225.818	3559	
32	Flight Controller/XY-to-reference-orientation/FAULT_Saturation	0.3	395	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	3448	
33	Flight Controller/Attitude/FAULT_P_pr	0.6	322	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	1231	
34	Flight Controller/Yaw/FAULT_D_yaw	0.3	245	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	1035	
35	Flight Controller/Attitude/FAULT_Sum16	0.6	405	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	2743	
36	Flight Controller/Yaw/FAULT_P_yaw	0.1	526	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	4819	
37	Flight Controller/Attitude/FAULT_Sum16	0.7	584	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	2032	
38	Flight Controller/gravity feedforward/equilibrium thrust/FAULT_Sum3	0.8	201	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	3134	
39	Flight Controller/XY-to-reference-orientation/FAULT_Mux1	0.3	236	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	1507	
40	Flight Controller/Yaw/FAULT_Sum2_2	0.6	504	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	3881	
41	Flight Controller/FAULT_Selector	0.3	387	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	1648	
42	Flight Controller/FAULT_Selector1	0.2	471	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	2777	
43	Flight Controller/thrustsToMotorCommands/FAULT_motors_cmdout2	0.1	503	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	3646	
44	Flight Controller/XY-to-reference-orientation/FAULT_Trigonometric\nFunction	0.2	459	1번 모터 제어 고장	7	10	10	700	13.34068422	239.2181	4509	
